,sender_num,platform,ave_total_time,data_num,data_size,throughput[GB/s]
362,1,GPU-MPI,0.093105,640,8,0.05244414907899683
363,1,GPU-MPI,0.0931,640,8,0.05244696562835661
364,1,GPU-MPI,0.093097,640,8,0.052448655703191294
365,1,GPU-MPI,0.093085,640,8,0.052455417091905245
366,1,GPU-MPI,0.093092,640,8,0.052451472736647624
367,1,GPU-MPI,0.093094,640,8,0.05245034588695297
368,1,GPU-MPI,0.093091,640,8,0.052452036179652176
369,1,GPU-MPI,0.09311,640,8,0.052441332832134036
370,1,GPU-MPI,0.093108,640,8,0.05244245929458264
371,1,GPU-MPI,0.093078,640,8,0.0524593620404392
372,1,GPU-MPI,0.093085,640,8,0.052455417091905245
373,1,GPU-MPI,0.093081,640,8,0.0524576712755557
374,1,GPU-MPI,0.093088,640,8,0.05245372658129941
375,1,GPU-MPI,0.093097,640,8,0.052448655703191294
376,1,GPU-MPI,0.093094,640,8,0.05245034588695297
377,1,GPU-MPI,0.093084,640,8,0.05245598061965537
378,1,GPU-MPI,0.093077,640,8,0.05245992565295401
379,1,GPU-MPI,0.09308,640,8,0.05245823485174044
380,1,GPU-MPI,0.093092,640,8,0.052451472736647624
381,1,GPU-MPI,0.0931,640,8,0.05244696562835661
382,1,GPU-MPI,0.093103,640,8,0.052445275662438375
383,1,GPU-MPI,0.093101,640,8,0.05244640229428255
384,1,GPU-MPI,0.093106,640,8,0.052443585805426074
385,1,GPU-MPI,0.093098,640,8,0.052448092332810586
386,1,GPU-MPI,0.093104,640,8,0.05244471236466747
387,1,GPU-MPI,0.093091,640,8,0.052452036179652176
388,1,GPU-MPI,0.093097,640,8,0.052448655703191294
389,1,GPU-MPI,0.093104,640,8,0.05244471236466747
390,1,GPU-MPI,0.093104,640,8,0.05244471236466747
391,1,GPU-MPI,0.093104,640,8,0.05244471236466747
392,1,GPU-MPI,0.093106,640,8,0.052443585805426074
393,1,GPU-MPI,0.093082,640,8,0.052457107711480204
394,1,GPU-MPI,0.093083,640,8,0.052456544159513556
395,1,GPU-MPI,0.093087,640,8,0.052454290072727665
396,1,GPU-MPI,0.093134,640,8,0.05242781905641334
397,1,GPU-MPI,0.093115,640,8,0.052438516887719486
398,1,GPU-MPI,0.09309,640,8,0.05245259963476206
399,1,GPU-MPI,0.09309,640,8,0.05245259963476206
